Reads 100 times per second during 10 seconds (10000 readings)
1. Rotate on X axis, first go down and then go up, finish at the original position
2. Rotate on Y axis, first go left and then go right, finish at the original position
3. Rotate on Z axis, first turn it like it was to touch your right shoulder, then do the
	same for the left shoulder, finish at the original position

%BEGIN%
x = -0.975396, y = 0.140985, z = 0.169465, w = -0.00283362
x = -0.404843, y = 0.0182829, z = 0.0105742, w = -0.914142
x = 0.98032, y = -0.00855637, z = -0.192009, w = 0.0450801
x = -0.790865, y = -0.00042894, z = 0.209871, w = 0.57488
x = -0.973839, y = 0.0240149, z = 0.202035, w = 0.101207
x = 0.949155, y = -0.0609954, z = -0.146471, w = 0.271902
x = -0.0902292, y = -0.00391456, z = -0.0557839, w = -0.99435
x = -0.956718, y = 0.168074, z = 0.186911, w = 0.14665
x = 0.0481673, y = 0.0205084, z = 0.0608465, w = 0.996773
x = -0.642388, y = 0.218389, z = 0.0200482, w = -0.734331
x = -0.00834648, y = -0.0722325, z = -0.047861, w = -0.996204
x = -0.697251, y = 0.593855, z = -0.09314, w = 0.390515
x = 0.334196, y = -0.52281, z = 0.138709, w = -0.771843
x = -0.167782, y = 0.0933821, z = -0.0864221, w = -0.977579
x = -0.0125871, y = 0.905271, z = -0.397151, w = -0.150325
x = 0.0322168, y = 0.639397, z = -0.26821, w = -0.719859
x = -0.023345, y = -0.506575, z = 0.186964, w = 0.841357
x = 0.245552, y = 0.53929, z = -0.0797863, w = 0.801564
x = -0.0702906, y = -0.980271, z = 0.172618, w = 0.0658171
x = -0.130742, y = -0.196281, z = -0.0189045, w = -0.971609
x = 0.199901, y = 0.941208, z = 0.0168139, w = 0.271815
x = -0.189484, y = -0.90649, z = 0.101577, w = 0.363392
x = 0.031254, y = -0.634112, z = 0.0749439, w = 0.768966
x = -0.00934456, y = -0.731098, z = 0.0340683, w = 0.681357
x = 0.0512077, y = 0.850036, z = 0.0299098, w = -0.523376
x = 0.124327, y = -0.430761, z = -0.0243311, w = 0.89353
x = -0.183281, y = 0.455211, z = 0.0722405, w = -0.868316
x = 0.126236, y = -0.780197, z = -0.294681, w = -0.537142
x = 0.00968185, y = -0.640961, z = 0.0625524, w = 0.764959
x = 0.441077, y = 0.0100874, z = -0.203769, w = 0.873972
x = -0.119009, y = 0.0231241, z = -0.0627994, w = -0.990635
x = -0.694392, y = 0.297487, z = 0.51408, w = 0.406256
x = 0.520739, y = -0.267154, z = -0.387423, w = -0.712295
x = 0.673674, y = -0.286461, z = -0.314953, w = 0.604076
x = -0.581513, y = 0.221333, z = 0.273398, w = -0.733558
x = 0.734998, y = -0.281245, z = -0.528909, w = -0.317703
x = -0.390636, y = 0.124202, z = 0.122848, w = -0.903817
x = -0.848747, y = 0.336346, z = 0.396847, w = -0.0949354
x = 0.487488, y = -0.214152, z = -0.211003, w = -0.819739
x = 0.43523, y = -0.140698, z = 0.016913, w = 0.889096
x = 0.790315, y = -0.244367, z = -0.0199029, w = 0.561507
x = -0.222493, y = 0.0638871, z = 0.0900891, w = 0.968659
x = 0.8921, y = -0.163167, z = -0.117847, w = -0.404533
x = 0.294917, y = -0.0321227, z = -0.102899, w = -0.949423
x = -0.519599, y = 0.0458672, z = -0.0111569, w = -0.853106
x = -0.979426, y = 0.050685, z = 0.0963276, w = 0.169933
x = 0.931661, y = -0.0610791, z = -0.101302, w = -0.343534
x = -0.68584, y = 0.060983, z = -0.00264211, w = -0.725188
x = -0.916682, y = 0.0836281, z = 0.084808, w = 0.381455
x = -0.840273, y = 0.0882661, z = 0.0887021, w = 0.527524
x = -0.688502, y = 0.0823449, z = 0.0816872, w = 0.715899
x = -0.283011, y = 0.0409999, z = -0.0569541, w = -0.956546
x = 0.982931, y = -0.129182, z = -0.025885, w = 0.128408
x = -0.502282, y = 0.0620619, z = -0.0493721, w = -0.861059
x = -0.221468, y = 0.0203927, z = 0.073951, w = 0.972146
x = -0.261005, y = 0.023367, z = 0.073657, w = 0.962239
x = -0.897911, y = 0.0940152, z = -0.0157867, w = -0.42973
x = -0.283751, y = 0.0374977, z = -0.0648883, w = -0.955965
x = 0.0620795, y = -0.0148847, z = 0.0705864, w = 0.995461
x = -0.397856, y = 0.0539263, z = 0.0680062, w = 0.913333
x = -0.972666, y = 0.182582, z = 0.025893, w = 0.141121
x = -0.433176, y = 0.0797011, z = 0.0755251, w = 0.894596
x = -0.0498991, y = -0.00969946, z = 0.0667538, w = 0.996474
x = -0.148016, y = 0.0526201, z = -0.0526363, w = -0.98618
x = 0.883624, y = -0.151557, z = -0.0847263, w = -0.43481
x = -0.352309, y = 0.0473567, z = 0.0839035, w = 0.930911
x = 0.98562, y = -0.0860983, z = -0.082568, w = 0.119679
x = -0.312615, y = 0.0358054, z = 0.08196, w = 0.94566
x = 0.158583, y = 0.0202389, z = 0.04103, w = 0.986285
x = 0.91918, y = -0.00544452, z = -0.058394, w = 0.389446
x = -0.411317, y = 0.0328367, z = 0.0870284, w = 0.906734
x = 0.734174, y = 0.0213232, z = -0.00820971, w = 0.678577
x = -0.676833, y = -0.00194556, z = -0.00639223, w = -0.736106
x = 0.513878, y = -0.00840092, z = 0.0378084, w = 0.856988
x = -0.399988, y = 0.00593412, z = -0.0649785, w = -0.914195
x = -0.994902, y = 0.0302724, z = 0.00741598, w = -0.0959104
x = -0.824347, y = 0.0279398, z = 0.0534582, w = 0.562862
x = -0.812281, y = 0.0183965, z = 0.0494696, w = 0.580874
x = 0.991818, y = 0.0127736, z = 0.00981327, w = -0.126643
x = 0.932403, y = 0.00283096, z = -0.00120136, w = -0.361408
x = 0.660344, y = -0.0222931, z = -0.0504443, w = -0.748935
x = -0.97171, y = -0.0180274, z = -0.0255586, w = 0.234098
x = -0.988759, y = -0.0408644, z = -0.0277529, w = 0.141121
x = -0.820293, y = -0.0821264, z = -0.092429, w = -0.558419
x = -0.64124, y = 0.0149893, z = 0.0590313, w = 0.76492
x = 0.439916, y = 0.0863297, z = 0.098686, w = 0.888416
x = -0.835522, y = -0.0929471, z = -0.065668, w = -0.537542
x = 0.45579, y = 0.113266, z = 0.0976194, w = 0.877438
x = -0.142487, y = 0.077617, z = 0.0989914, w = 0.981771
x = 0.0315837, y = 0.102111, z = 0.101939, w = 0.989032
x = 0.312698, y = -0.0634464, z = -0.0845873, w = -0.943949
x = -0.987852, y = -0.117784, z = 0.00360809, w = 0.101303
x = 0.624036, y = -0.00680853, z = -0.0653779, w = -0.778626
x = 0.592826, y = -0.0140964, z = -0.0674415, w = -0.802378
x = -0.547957, y = 0.0197438, z = 0.0686775, w = 0.833449
x = 0.757783, y = 0.00544448, z = -0.0677919, w = -0.648952
